Reference	Degraded	Fsample	PESQ_score
g729char/exp3/original/a/a_f01s01.8k.wav	g729char/exp1/coded/a/ae1f5901.8k.out	8000	3.613
g729char/exp3/original/a/a_f02s01.8k.wav	g729char/exp1/coded/a/ae1f8501.8k.out	8000	3.673
g729char/exp3/original/a/a_m01s01.8k.wav	g729char/exp1/coded/a/ae1m0101.8k.out	8000	3.941
g729char/exp3/original/a/a_m02s01.8k.wav	g729char/exp1/coded/a/ae1m2d01.8k.out	8000	3.983
g729char/exp3/original/a/a_f01s02.8k.wav	g729char/exp1/coded/a/ae1f5a02.8k.out	8000	3.316
g729char/exp3/original/a/a_f02s02.8k.wav	g729char/exp1/coded/a/ae1f8602.8k.out	8000	3.327
g729char/exp3/original/a/a_m01s02.8k.wav	g729char/exp1/coded/a/ae1m0202.8k.out	8000	3.68
g729char/exp3/original/a/a_m02s02.8k.wav	g729char/exp1/coded/a/ae1m2e02.8k.out	8000	3.557
g729char/exp3/original/a/a_f01s03.8k.wav	g729char/exp1/coded/a/ae1f5b03.8k.out	8000	2.902
g729char/exp3/original/a/a_f02s03.8k.wav	g729char/exp1/coded/a/ae1f8703.8k.out	8000	3.096
g729char/exp3/original/a/a_m01s03.8k.wav	g729char/exp1/coded/a/ae1m0303.8k.out	8000	3.202
g729char/exp3/original/a/a_m02s03.8k.wav	g729char/exp1/coded/a/ae1m2f03.8k.out	8000	3.296
g729char/exp3/original/a/a_f01s04.8k.wav	g729char/exp1/coded/a/ae1f5c04.8k.out	8000	3.9
g729char/exp3/original/a/a_f02s04.8k.wav	g729char/exp1/coded/a/ae1f8804.8k.out	8000	3.795
g729char/exp3/original/a/a_m01s04.8k.wav	g729char/exp1/coded/a/ae1m0404.8k.out	8000	4.18
g729char/exp3/original/a/a_m02s04.8k.wav	g729char/exp1/coded/a/ae1m3004.8k.out	8000	4.116
g729char/exp3/original/a/a_f01s05.8k.wav	g729char/exp1/coded/a/ae1f5d05.8k.out	8000	3.362
g729char/exp3/original/a/a_f02s05.8k.wav	g729char/exp1/coded/a/ae1f8905.8k.out	8000	3.397
g729char/exp3/original/a/a_m01s05.8k.wav	g729char/exp1/coded/a/ae1m0505.8k.out	8000	3.568
g729char/exp3/original/a/a_m02s05.8k.wav	g729char/exp1/coded/a/ae1m3105.8k.out	8000	3.568
g729char/exp3/original/a/a_f01s06.8k.wav	g729char/exp1/coded/a/ae1f5e06.8k.out	8000	3.709
g729char/exp3/original/a/a_f02s06.8k.wav	g729char/exp1/coded/a/ae1f8a06.8k.out	8000	3.583
g729char/exp3/original/a/a_m01s06.8k.wav	g729char/exp1/coded/a/ae1m0606.8k.out	8000	4.011
g729char/exp3/original/a/a_m02s06.8k.wav	g729char/exp1/coded/a/ae1m3206.8k.out	8000	3.975
