REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp3\original\a\a_f01s01.wav	 g729char\exp1\coded\a\ae1f5901.out	16000	2.824
g729char\exp3\original\a\a_f02s01.wav	 g729char\exp1\coded\a\ae1f8501.out	16000	2.97
g729char\exp3\original\a\a_m01s01.wav	 g729char\exp1\coded\a\ae1m0101.out	16000	3.463
g729char\exp3\original\a\a_m02s01.wav	 g729char\exp1\coded\a\ae1m2d01.out	16000	3.415
g729char\exp3\original\a\a_f01s02.wav	 g729char\exp1\coded\a\ae1f5a02.out	16000	2.398
g729char\exp3\original\a\a_f02s02.wav	 g729char\exp1\coded\a\ae1f8602.out	16000	2.242
g729char\exp3\original\a\a_m01s02.wav	 g729char\exp1\coded\a\ae1m0202.out	16000	3.209
g729char\exp3\original\a\a_m02s02.wav	 g729char\exp1\coded\a\ae1m2e02.out	16000	2.727
g729char\exp3\original\a\a_f01s03.wav	 g729char\exp1\coded\a\ae1f5b03.out	16000	1.821
g729char\exp3\original\a\a_f02s03.wav	 g729char\exp1\coded\a\ae1f8703.out	16000	2.11
g729char\exp3\original\a\a_m01s03.wav	 g729char\exp1\coded\a\ae1m0303.out	16000	2.21
g729char\exp3\original\a\a_m02s03.wav	 g729char\exp1\coded\a\ae1m2f03.out	16000	2.285
g729char\exp3\original\a\a_f01s04.wav	 g729char\exp1\coded\a\ae1f5c04.out	16000	3.315
g729char\exp3\original\a\a_f02s04.wav	 g729char\exp1\coded\a\ae1f8804.out	16000	3.433
g729char\exp3\original\a\a_m01s04.wav	 g729char\exp1\coded\a\ae1m0404.out	16000	3.642
g729char\exp3\original\a\a_m02s04.wav	 g729char\exp1\coded\a\ae1m3004.out	16000	3.146
g729char\exp3\original\a\a_f01s05.wav	 g729char\exp1\coded\a\ae1f5d05.out	16000	3.055
g729char\exp3\original\a\a_f02s05.wav	 g729char\exp1\coded\a\ae1f8905.out	16000	2.555
g729char\exp3\original\a\a_m01s05.wav	 g729char\exp1\coded\a\ae1m0505.out	16000	2.471
g729char\exp3\original\a\a_m02s05.wav	 g729char\exp1\coded\a\ae1m3105.out	16000	2.605
g729char\exp3\original\a\a_f01s06.wav	 g729char\exp1\coded\a\ae1f5e06.out	16000	2.941
g729char\exp3\original\a\a_f02s06.wav	 g729char\exp1\coded\a\ae1f8a06.out	16000	2.752
g729char\exp3\original\a\a_m01s06.wav	 g729char\exp1\coded\a\ae1m0606.out	16000	3.568
g729char\exp3\original\a\a_m02s06.wav	 g729char\exp1\coded\a\ae1m3206.out	16000	3.667
g729char\exp3\original\a\a_f01s07.wav	 g729char\exp1\coded\a\ae1f5f07.out	16000	3.854
g729char\exp3\original\a\a_f02s07.wav	 g729char\exp1\coded\a\ae1f8b07.out	16000	3.738
g729char\exp3\original\a\a_m01s07.wav	 g729char\exp1\coded\a\ae1m0707.out	16000	3.58
