Reference	Degraded	Fsample	PESQ_score
voip/or105.16k.raw	voip/dg105.16k.raw	16000	2.399
voip/or109.16k.raw	voip/dg109.16k.raw	16000	3.197
voip/or114.16k.raw	voip/dg114.16k.raw	16000	2.084
voip/or129.16k.raw	voip/dg129.16k.raw	16000	2.736
voip/or134.16k.raw	voip/dg134.16k.raw	16000	2.147
voip/or137.16k.raw	voip/dg137.16k.raw	16000	3.608
voip/or145.16k.raw	voip/dg145.16k.raw	16000	2.943
voip/or149.16k.raw	voip/dg149.16k.raw	16000	2.557
voip/or152.16k.raw	voip/dg152.16k.raw	16000	2.649
voip/or154.16k.raw	voip/dg154.16k.raw	16000	2.616
voip/or155.16k.raw	voip/dg155.16k.raw	16000	2.557
voip/or161.16k.raw	voip/dg161.16k.raw	16000	2.658
voip/or164.16k.raw	voip/dg164.16k.raw	16000	2.822
voip/or166.16k.raw	voip/dg166.16k.raw	16000	2.432
voip/or170.16k.raw	voip/dg170.16k.raw	16000	2.360
voip/or179.16k.raw	voip/dg179.16k.raw	16000	1.808
voip/or221.16k.raw	voip/dg221.16k.raw	16000	2.661
voip/or229.16k.raw	voip/dg229.16k.raw	16000	2.883
voip/or246.16k.raw	voip/dg246.16k.raw	16000	2.208
voip/or272.16k.raw	voip/dg272.16k.raw	16000	3.222
voip/u_am1s01.16k.raw	voip/u_am1s01b1c1.16k.raw	16000	3.766
voip/u_am1s01.16k.raw	voip/u_am1s01b1c7.16k.raw	16000	2.663
voip/u_am1s02.16k.raw	voip/u_am1s02b1c9.16k.raw	16000	3.933
voip/u_am1s01.16k.raw	voip/u_am1s01b1c15.16k.raw	16000	3.861
voip/u_am1s03.16k.raw	voip/u_am1s03b1c16.16k.raw	16000	2.937
voip/u_am1s03.16k.raw	voip/u_am1s03b1c18.16k.raw	16000	2.778
voip/u_am1s01.16k.raw	voip/u_am1s01b2c1.16k.raw	16000	4.351
voip/u_am1s02.16k.raw	voip/u_am1s02b2c4.16k.raw	16000	3.538
voip/u_am1s02.16k.raw	voip/u_am1s02b2c5.16k.raw	16000	3.589
voip/u_am1s03.16k.raw	voip/u_am1s03b2c5.16k.raw	16000	3.967
voip/u_am1s03.16k.raw	voip/u_am1s03b2c6.16k.raw	16000	2.809
voip/u_am1s03.16k.raw	voip/u_am1s03b2c7.16k.raw	16000	3.471
voip/u_am1s01.16k.raw	voip/u_am1s01b2c8.16k.raw	16000	2.351
voip/u_am1s03.16k.raw	voip/u_am1s03b2c11.16k.raw	16000	3.266
voip/u_am1s02.16k.raw	voip/u_am1s02b2c14.16k.raw	16000	3.417
voip/u_af1s01.16k.raw	voip/u_af1s01b2c16.16k.raw	16000	3.282
voip/u_af1s03.16k.raw	voip/u_af1s03b2c16.16k.raw	16000	3.447
voip/u_af1s02.16k.raw	voip/u_af1s02b2c17.16k.raw	16000	2.767
voip/u_af1s03.16k.raw	voip/u_af1s03b2c17.16k.raw	16000	2.731
voip/u_am1s03.16k.raw	voip/u_am1s03b2c18.16k.raw	16000	2.499
